Name	Birthdate	Sex	Profession	Lang
HAYDAR AKAR	1963	M	MATHEMATICIAN	1
ZEKI AYGÜN	1953	M	ENGINEER	1
MUZAFFER BAŞTOPÇU	1948	M	CHEMIST	1
NİHAT ERGÜN	1962	M	ACCOUNTANT	0
AZİZE SİBEL GÖNÜL	1966	W	ARCHITECT	1
HURŞİT GÜNEŞ	1957	M	ACADEMICIAN	2
FİKRİ IŞIK	1965	M	TEACHER	2
MEHMET HİLAL KAPLAN	1959	M	DOCTOR	1
MEHMET ALİ OKUR	1973	M	BUSINESSMAN	2
İLYAS ŞEKER	1960	M	ENGINEER	1
LÜTFÜ TÜRKKAN	1959	M	BUSINESSMAN	4
MUSTAFA AKIŞ	1981	M	LAWYER	1
FARUK BAL	1950	M	JUDGE	1
MUSTAFA BALOĞLU	1967	M	DOCTOR	1
AHMET DAVUTOĞLU	1959	M	ACADEMICIAN	3
MUSTAFA KABAKCI	1954	M	BUSINESSMAN	1
MUSTAFA KALAYCI	1960	M	ACCOUNTANT	1
ATILLA KART	1954	M	LAWYER	0
KERİM ÖZKUL	1959	M	LAWYER	1
GÜLAY SAMANCI	1977	W	LAWYER	0
HARUN TÜFEKCİ	1971	M	LAWYER	2
AYŞE TÜRKMENOĞLU	1965	W	LAWYER	0
HÜSEYİN ÜZÜLMEZ	1957	M	BUSINESSMAN	2
İLHAN YERLİKAYA	1960	M	ACADEMICIAN	2
CEM ZORLU	1963	M	ACADEMICIAN	4
SONER AKSOY	1941	M	ENGINEER	1
İDRİS BAL	1968	M	ACADEMICIAN	1
ALİM IŞIK	1959	M	ACADEMICIAN	1
VURAL KAVUNCU	1966	M	DOCTOR	1
HASAN FEHMİ KİNAY	1964	M	ECONOMIST	1
VELİ AĞBABA	1968	M	BUSINESSMAN	1
HÜSEYİN CEMAL AKIN	1949	M	LAWYER	1
ÖZNUR ÇALIK	1965	W	PHARMACIST	1
MAHMUT MÜCAHİT FINDIKLI	1957	M	ENGINEER	1
ÖMER FARUK ÖZ	1966	M	BUREAUCRAT	1
MUSTAFA ŞAHİN	1956	M	BUSINESSMAN	1
ERKAN AKÇAY	1961	M	FINANCIER	1
UĞUR AYDEMİR	1967	M	ACCOUNTANT	0
RECAİ BERBER	1959	M	ECONOMIST	2
SÜMER ORAL	1938	M	INSPECTOR	1
HASAN ÖREN	1953	M	BUSINESSMAN	0
SAKİNE ÖZ	1964	W	ARCHITECT	1
SELÇUK ÖZDAĞ	1958	M	ACADEMICIAN	1
ÖZGÜR ÖZEL	1974	M	PHARMACIST	2
HÜSEYİN TANRIVERDİ	1956	M	TEACHER	0
MUZAFFER YURTTAŞ	1967	M	DOCTOR	2
ABDURRAHİM AKDAĞ	1960	M	ADMINISTRATOR	1
GÖNÜL BEKİN ŞAHKULUBEY	1970	W	PHARMACIST	2
EROL DORA	1964	M	LAWYER	4
MUAMMER GÜLER	1949	M	BUREAUCRAT	0
GÜLSER YILDIRIM	1963	W		0
AYTUĞ ATICI	1964	M	DOCTOR	2
NEBİ BOZKURT	1950	M	THEOLOGIST	2
MEHMET ZAFER ÇAĞLAYAN	1957	M	ENGINEER	1
İSA GÖK	1963	M	LAWYER	0
ERTUĞUL KÜRKCÜ	1948	M	JOURNALIST	3
ÇİĞDEM MÜNEVVER ÖKTEN	1961	W	TEACHER	2
ALİ ÖZ	1968	M	DOCTOR	1
ALİ RIZA ÖZTÜRK	1956	M	ENGINEER	1
VAHAP SEÇER	1963	M	ENGINEER	1
MEHMET ŞANDIR	1947	M	ENGINEER	2
AHMET TEVFIK UZUN	1968	M	PHARMACIST	1
ÖMER SÜHA ALDAN	1959	M	PROSECUTOR	1
ALİ BOĞA	1949	M	BUREAUCRAT	1
TOLGA ÇANDAR	1959	M	ENGINEER	1
NURETTİN DEMİR	1953	M	DOCTOR	1
MEHMET ERDOĞAN	1964	M	BUREAUCRAT	1
YÜKSEL ÖZDEN	1963	M	ACADEMICIAN	1
MUZAFFER ÇAKAR	1965	M	ACADEMICIAN	1
DEMİR ÇELİK	1959	M	PHARMACIST	1
